,track_name,artist,streams,uid,cleaned_lyrics,stemmed_lyrics,lemmatized_lyrics
0,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",1153551513,5PjdY0CKGZdEuoNab3yDmX,thing told never would told change even knew never could know find nobody else good need stay need stay hey oh get drunk wake wasted still realize time wasted feel like feel way feel oh fucked right oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh fucked right thing told never would told change even knew never could know find nobody else good need stay need stay hey thing told never would told change even knew never could know find nobody else good need stay need stay hey away miss touch ooh reason believe love difficult trust ooh afraid fuck way leave stranded cause ever left empty handed know know live without baby stay oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah fucked right thing told never would told change even knew never could know find nobody else good need stay need stay hey thing told never would told change even knew never could know find nobody else good need stay need stay hey woah oh need stay need stay hey,thing told never would told chang even knew never could know find nobodi els good need stay need stay hey oh get drunk wake wast still realiz time wast feel like feel way feel oh fuck right oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh fuck right thing told never would told chang even knew never could know find nobodi els good need stay need stay hey thing told never would told chang even knew never could know find nobodi els good need stay need stay hey away miss touch ooh reason believ love difficult trust ooh afraid fuck way leav strand caus ever left empti hand know know live without babi stay oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah fuck right thing told never would told chang even knew never could know find nobodi els good need stay need stay hey thing told never would told chang even knew never could know find nobodi els good need stay need stay hey woah oh need stay need stay hey,thing told never would told change even knew never could know find nobody else good need stay need stay hey oh get drunk wake wasted still realize time wasted feel like feel way feel oh fucked right oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh fucked right thing told never would told change even knew never could know find nobody else good need stay need stay hey thing told never would told change even knew never could know find nobody else good need stay need stay hey away miss touch ooh reason believe love difficult trust ooh afraid fuck way leave stranded cause ever left empty handed know know live without baby stay oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah oh ooh woah oh ooh woah ooh woah fucked right thing told never would told change even knew never could know find nobody else good need stay need stay hey thing told never would told change even knew never could know find nobody else good need stay need stay hey woah oh need stay need stay hey
1,good 4 u,Olivia Rodrigo,1094634977,4ZtFanR9U6ndgddUvNcjcG,ah well good guess moved really easily found new girl took couple weeks remember said wanted give world world good guess workin guess therapist found really helped better man brand new girl girl well good look happy healthy ever cared ask good doin great without baby god wish could lost mind spent night cryin floor bathroom unaffected really get guess good well good guess gettin everything want ah bought new car career really takin ah like never even happened baby fuck ah good like never even met remember swore god person ever got well screw screw never hurt way know well good look happy healthy ever cared ask good doin great without baby god wish could lost mind spent night cryin floor bathroom unaffected really get guess good ah ah ah ah ah ah ah ah maybe emotional apathy like wound salt maybe emotional maybe never cared maybe emotional apathy like wound salt maybe emotional maybe never cared well good look happy healthy ever cared ask good doin great without baby like damn sociopath lost mind spent night cryin floor bathroom unaffected really get guess good well good guess moved really easily,ah well good guess move realli easili found new girl took coupl week rememb said want give world world good guess workin guess therapist found realli help better man brand new girl girl well good look happi healthi ever care ask good doin great without babi god wish could lost mind spent night cryin floor bathroom unaffect realli get guess good well good guess gettin everyth want ah bought new car career realli takin ah like never even happen babi fuck ah good like never even met rememb swore god person ever got well screw screw never hurt way know well good look happi healthi ever care ask good doin great without babi god wish could lost mind spent night cryin floor bathroom unaffect realli get guess good ah ah ah ah ah ah ah ah mayb emot apathi like wound salt mayb emot mayb never care mayb emot apathi like wound salt mayb emot mayb never care well good look happi healthi ever care ask good doin great without babi like damn sociopath lost mind spent night cryin floor bathroom unaffect realli get guess good well good guess move realli easili,ah well good guess moved really easily found new girl took couple week remember said wanted give world world good guess workin guess therapist found really helped better man brand new girl girl well good look happy healthy ever cared ask good doin great without baby god wish could lost mind spent night cryin floor bathroom unaffected really get guess good well good guess gettin everything want ah bought new car career really takin ah like never even happened baby fuck ah good like never even met remember swore god person ever got well screw screw never hurt way know well good look happy healthy ever cared ask good doin great without baby god wish could lost mind spent night cryin floor bathroom unaffected really get guess good ah ah ah ah ah ah ah ah maybe emotional apathy like wound salt maybe emotional maybe never cared maybe emotional apathy like wound salt maybe emotional maybe never cared well good look happy healthy ever cared ask good doin great without baby like damn sociopath lost mind spent night cryin floor bathroom unaffected really get guess good well good guess moved really easily
2,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",987178142,5nujrmhLynf4yMoMtj8AQF,wanna run away know galaxy take ride premonition fell rhythm music stop life glitter sky glitter eyes shining way like feeling like need little bit company met perfect time want want baby sugarboo levitating milky way renegading yeah yeah yeah yeah yeah got moonlight starlight need night come dance levitating moonlight starlight moonlight need night come dance levitating believe feel energy see us written stars go wherever let never baby nothing ever ever far glitter sky glitter eyes shining way feel like forever every time get together whatever let get lost mars want want baby sugarboo levitating milky way renegading yeah yeah yeah yeah yeah got moonlight starlight need night come dance levitating moonlight starlight moonlight need night come dance levitating fly away tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah levitating woo fly away tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah woo love like rocket watch blast feeling electric dance ass even wanted stop yeah yeah yeah yeah yeah love like rocket watch blast feeling electric dance ass even wanted stop yeah yeah yeah yeah yeah want want baby sugarboo levitating milky way renegading got yeah moonlight starlight need night night come dance levitating woo fly away tonight tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah take ride levitating woo fly away tonight tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah let take ride got moonlight starlight starlight need night come dance come dance levitating moonlight starlight moonlight need night come dance levitating,wanna run away know galaxi take ride premonit fell rhythm music stop life glitter sky glitter eye shine way like feel like need littl bit compani met perfect time want want babi sugarboo levit milki way renegad yeah yeah yeah yeah yeah got moonlight starlight need night come danc levit moonlight starlight moonlight need night come danc levit believ feel energi see us written star go wherev let never babi noth ever ever far glitter sky glitter eye shine way feel like forev everi time get togeth whatev let get lost mar want want babi sugarboo levit milki way renegad yeah yeah yeah yeah yeah got moonlight starlight need night come danc levit moonlight starlight moonlight need night come danc levit fli away tonight fli away tonight babi let take ride yeah yeah yeah yeah yeah levit woo fli away tonight fli away tonight babi let take ride yeah yeah yeah yeah yeah woo love like rocket watch blast feel electr danc ass even want stop yeah yeah yeah yeah yeah love like rocket watch blast feel electr danc ass even want stop yeah yeah yeah yeah yeah want want babi sugarboo levit milki way renegad got yeah moonlight starlight need night night come danc levit woo fli away tonight tonight fli away tonight babi let take ride yeah yeah yeah yeah yeah take ride levit woo fli away tonight tonight fli away tonight babi let take ride yeah yeah yeah yeah yeah let take ride got moonlight starlight starlight need night come danc come danc levit moonlight starlight moonlight need night come danc levit,wanna run away know galaxy take ride premonition fell rhythm music stop life glitter sky glitter eye shining way like feeling like need little bit company met perfect time want want baby sugarboo levitating milky way renegading yeah yeah yeah yeah yeah got moonlight starlight need night come dance levitating moonlight starlight moonlight need night come dance levitating believe feel energy see u written star go wherever let never baby nothing ever ever far glitter sky glitter eye shining way feel like forever every time get together whatever let get lost mar want want baby sugarboo levitating milky way renegading yeah yeah yeah yeah yeah got moonlight starlight need night come dance levitating moonlight starlight moonlight need night come dance levitating fly away tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah levitating woo fly away tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah woo love like rocket watch blast feeling electric dance as even wanted stop yeah yeah yeah yeah yeah love like rocket watch blast feeling electric dance as even wanted stop yeah yeah yeah yeah yeah want want baby sugarboo levitating milky way renegading got yeah moonlight starlight need night night come dance levitating woo fly away tonight tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah take ride levitating woo fly away tonight tonight fly away tonight baby let take ride yeah yeah yeah yeah yeah let take ride got moonlight starlight starlight need night come dance come dance levitating moonlight starlight moonlight need night come dance levitating
3,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",957976263,4iJyoBOLtHqaGxP12qzhQI,got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah say oh oh way breathe texture skin wanna wrap arms around baby never let go oh say oh nothing like touch way lift yeah right til end time got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah sure yet ya want wish nights alone miss days save souvenirs time wanna make time give whole life left girl mallorca hate leave call torture remember hold left baggage rimowa got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah get feeling sure sure hand hand pretend ignore right think wanna know oh done bein distracted one need right arms oh kisses taste sweetest mine right til end time got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah got peaches georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah,got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah say oh oh way breath textur skin wanna wrap arm around babi never let go oh say oh noth like touch way lift yeah right til end time got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah sure yet ya want wish night alon miss day save souvenir time wanna make time give whole life left girl mallorca hate leav call tortur rememb hold left baggag rimowa got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah get feel sure sure hand hand pretend ignor right think wanna know oh done bein distract one need right arm oh kiss tast sweetest mine right til end time got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right sourc yeah yeah,got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah say oh oh way breathe texture skin wanna wrap arm around baby never let go oh say oh nothing like touch way lift yeah right til end time got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah sure yet ya want wish night alone miss day save souvenir time wanna make time give whole life left girl mallorca hate leave call torture remember hold left baggage rimowa got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah get feeling sure sure hand hand pretend ignore right think wanna know oh done bein distracted one need right arm oh kiss taste sweetest mine right til end time got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah got peach georgia oh yeah shit get weed california shit took chick north yeah badass bitch get light right source yeah yeah
4,Heat Waves,Glass Animals,933570911,02MWAaffLxlfxAUY7c5dvx,last night think stop baby walk want baby think know never gonna lose road shimmer wigglin vision heat heat waves swimmin mirror road shimmer wigglin vision heat heat waves swimmin sometimes think late nights middle june heat waves fakin make happier sometimes think late nights middle june heat waves fakin make happier usually put somethin tv never think today see reflections clearly hollywood layin screen need better life need somethin never give fake water across road gone night come sometimes think late nights middle june heat waves fakin make happier fight breathe say somethin lovin gotta let go better someone new wanna alone know hurts look broken cry one say goodbye sometimes think late nights middle june heat waves fakin make happier sometimes think late nights middle june heat waves fakin make happier wonder dreamin sleep smile comfortable wish could give look perfectly un sad sometimes think late nights middle june heat waves fakin heat waves fakin sometimes think late nights middle june heat waves fakin make happier sometimes think late nights middle june heat waves fakin make happier road shimmer wigglin vision heat heat waves swimmin mirror road shimmer wigglin vision heat heat waves swimmin mirror,last night think stop babi walk want babi think know never gonna lose road shimmer wigglin vision heat heat wave swimmin mirror road shimmer wigglin vision heat heat wave swimmin sometim think late night middl june heat wave fakin make happier sometim think late night middl june heat wave fakin make happier usual put somethin tv never think today see reflect clearli hollywood layin screen need better life need somethin never give fake water across road gone night come sometim think late night middl june heat wave fakin make happier fight breath say somethin lovin gotta let go better someon new wanna alon know hurt look broken cri one say goodby sometim think late night middl june heat wave fakin make happier sometim think late night middl june heat wave fakin make happier wonder dreamin sleep smile comfort wish could give look perfectli un sad sometim think late night middl june heat wave fakin heat wave fakin sometim think late night middl june heat wave fakin make happier sometim think late night middl june heat wave fakin make happier road shimmer wigglin vision heat heat wave swimmin mirror road shimmer wigglin vision heat heat wave swimmin mirror,last night think stop baby walk want baby think know never gonna lose road shimmer wigglin vision heat heat wave swimmin mirror road shimmer wigglin vision heat heat wave swimmin sometimes think late night middle june heat wave fakin make happier sometimes think late night middle june heat wave fakin make happier usually put somethin tv never think today see reflection clearly hollywood layin screen need better life need somethin never give fake water across road gone night come sometimes think late night middle june heat wave fakin make happier fight breathe say somethin lovin gotta let go better someone new wanna alone know hurt look broken cry one say goodbye sometimes think late night middle june heat wave fakin make happier sometimes think late night middle june heat wave fakin make happier wonder dreamin sleep smile comfortable wish could give look perfectly un sad sometimes think late night middle june heat wave fakin heat wave fakin sometimes think late night middle june heat wave fakin make happier sometimes think late night middle june heat wave fakin make happier road shimmer wigglin vision heat heat wave swimmin mirror road shimmer wigglin vision heat heat wave swimmin mirror
5,Blinding Lights,The Weeknd,904467329,0VjIjW4GlUZAMYd2vXMi3b,yeah tryna call long enough maybe show love maybe going withdrawals even much turn touch baby look around sin city cold empty oh one around judge oh see clearly gone said ooh blinded lights sleep feel touch said ooh drowning night oh like one trust hey hey hey running time cause see sun light sky hit road overdrive baby oh city cold empty oh one around judge oh see clearly gone said ooh blinded lights sleep feel touch said ooh drowning night oh like one trust calling back let know back let know could never say phone say phone never let go time ooh said ooh blinded lights sleep feel touch hey hey hey hey hey hey said ooh blinded lights sleep feel touch,yeah tryna call long enough mayb show love mayb go withdraw even much turn touch babi look around sin citi cold empti oh one around judg oh see clearli gone said ooh blind light sleep feel touch said ooh drown night oh like one trust hey hey hey run time caus see sun light sky hit road overdr babi oh citi cold empti oh one around judg oh see clearli gone said ooh blind light sleep feel touch said ooh drown night oh like one trust call back let know back let know could never say phone say phone never let go time ooh said ooh blind light sleep feel touch hey hey hey hey hey hey said ooh blind light sleep feel touch,yeah tryna call long enough maybe show love maybe going withdrawal even much turn touch baby look around sin city cold empty oh one around judge oh see clearly gone said ooh blinded light sleep feel touch said ooh drowning night oh like one trust hey hey hey running time cause see sun light sky hit road overdrive baby oh city cold empty oh one around judge oh see clearly gone said ooh blinded light sleep feel touch said ooh drowning night oh like one trust calling back let know back let know could never say phone say phone never let go time ooh said ooh blinded light sleep feel touch hey hey hey hey hey hey said ooh blinded light sleep feel touch
6,Beggin',Måneskin,823819068,3Wrjm47oTz2sjIgck11l5e,put loving hand baby cause beggin beggin beggin put loving hand baby beggin beggin put loving hand darlin riding high king played hard fast cause everything walked away easy come easy go would end anytime bleed let go yah anytime feed get know anytime seek let know planted seed let grow knees beggin cause wanna lose hey yeah ra ta ta ta cause beggin beggin uh put loving hand baby beggin beggin ah put loving hand darlin need understand tried hard man kind man want end begin live empty shell used shadow life hangin broken man know even stand devil dance win soul doin chasin bottom basement got good shit embrace feel need replace wrong way track good want paint picture tellin could like heart best way give away took pay keep walkin keep openin doors keep hopin door keep also home cause want live broken home girl beggin mmm yeah yeah yeah beggin beggin put loving hand baby beggin beggin put loving hand darlin fighting hard hold make alone holding fall back calm bout fade black beggin beggin put loving hand baby beggin beggin put loving hand darlin beggin beggin put loving hand baby beggin beggin put loving hand darlin beggin beggin put loving hand baby beggin beggin put loving hand,put love hand babi caus beggin beggin beggin put love hand babi beggin beggin put love hand darlin ride high king play hard fast caus everyth walk away easi come easi go would end anytim bleed let go yah anytim feed get know anytim seek let know plant seed let grow knee beggin caus wanna lose hey yeah ra ta ta ta caus beggin beggin uh put love hand babi beggin beggin ah put love hand darlin need understand tri hard man kind man want end begin live empti shell use shadow life hangin broken man know even stand devil danc win soul doin chasin bottom basement got good shit embrac feel need replac wrong way track good want paint pictur tellin could like heart best way give away took pay keep walkin keep openin door keep hopin door keep also home caus want live broken home girl beggin mmm yeah yeah yeah beggin beggin put love hand babi beggin beggin put love hand darlin fight hard hold make alon hold fall back calm bout fade black beggin beggin put love hand babi beggin beggin put love hand darlin beggin beggin put love hand babi beggin beggin put love hand darlin beggin beggin put love hand babi beggin beggin put love hand,put loving hand baby cause beggin beggin beggin put loving hand baby beggin beggin put loving hand darlin riding high king played hard fast cause everything walked away easy come easy go would end anytime bleed let go yah anytime feed get know anytime seek let know planted seed let grow knee beggin cause wanna lose hey yeah ra ta ta ta cause beggin beggin uh put loving hand baby beggin beggin ah put loving hand darlin need understand tried hard man kind man want end begin live empty shell used shadow life hangin broken man know even stand devil dance win soul doin chasin bottom basement got good shit embrace feel need replace wrong way track good want paint picture tellin could like heart best way give away took pay keep walkin keep openin door keep hopin door keep also home cause want live broken home girl beggin mmm yeah yeah yeah beggin beggin put loving hand baby beggin beggin put loving hand darlin fighting hard hold make alone holding fall back calm bout fade black beggin beggin put loving hand baby beggin beggin put loving hand darlin beggin beggin put loving hand baby beggin beggin put loving hand darlin beggin beggin put loving hand baby beggin beggin put loving hand
7,Save Your Tears,The Weeknd,716263692,5QO79kh1waicV47BqGRL3g,ooh na na yeah saw dancing crowded room uh look happy saw caught surprise single teardrop falling eye know run away make cry run away could asked broke heart could told fell apart walked past like pretended like care know run away make cry run away take back cause wanna stay save tears another save tears another day save tears another day made think would always stay said things never say yeah broke heart like someone mine love second time know run away oh girl said make cry run away girl take back cause wanna stay save tears another realize much late deserve someone better save tears another day oh yeah save tears another day yeah know run away make cry run away save tears another day ooh girl said ah save tears another day ah save tears another day ah save tears another day ah,ooh na na yeah saw danc crowd room uh look happi saw caught surpris singl teardrop fall eye know run away make cri run away could ask broke heart could told fell apart walk past like pretend like care know run away make cri run away take back caus wanna stay save tear anoth save tear anoth day save tear anoth day made think would alway stay said thing never say yeah broke heart like someon mine love second time know run away oh girl said make cri run away girl take back caus wanna stay save tear anoth realiz much late deserv someon better save tear anoth day oh yeah save tear anoth day yeah know run away make cri run away save tear anoth day ooh girl said ah save tear anoth day ah save tear anoth day ah save tear anoth day ah,ooh na na yeah saw dancing crowded room uh look happy saw caught surprise single teardrop falling eye know run away make cry run away could asked broke heart could told fell apart walked past like pretended like care know run away make cry run away take back cause wanna stay save tear another save tear another day save tear another day made think would always stay said thing never say yeah broke heart like someone mine love second time know run away oh girl said make cry run away girl take back cause wanna stay save tear another realize much late deserve someone better save tear another day oh yeah save tear another day yeah know run away make cry run away save tear another day ooh girl said ah save tear another day ah save tear another day ah save tear another day ah
8,drivers license,Olivia Rodrigo,707249499,7lPN2DXiMsVn7XUKtOW1CS,got driver license last week like always talked cause excited finally drive house today drove suburbs crying cause around probably blonde girl always made doubt much older everything insecure yeah today drove suburbs cause could ever love someone else know perfect never felt way one imagine could okay gone guess mean wrote song cause said forever drive alone past street friends tired hearing much miss kinda feel sorry cause never know way yeah today drove suburbs pictured driving home know perfect never felt way one oh imagine could okay gone guess mean wrote song cause said forever drive alone past street red lights stop signs still see face white cars front yards drive past places used go cause still fuckin love babe ooh ooh ooh ooh ooh ooh sidewalks crossed still hear voice traffic laughing noise god blue know still fuckin love babe ooh ooh ooh ooh ooh ooh know perfect never felt way one imagine could okay gone guess mean wrote song cause said forever drive alone past street yeah said forever drive alone past street,got driver licens last week like alway talk caus excit final drive hous today drove suburb cri caus around probabl blond girl alway made doubt much older everyth insecur yeah today drove suburb caus could ever love someon els know perfect never felt way one imagin could okay gone guess mean wrote song caus said forev drive alon past street friend tire hear much miss kinda feel sorri caus never know way yeah today drove suburb pictur drive home know perfect never felt way one oh imagin could okay gone guess mean wrote song caus said forev drive alon past street red light stop sign still see face white car front yard drive past place use go caus still fuckin love babe ooh ooh ooh ooh ooh ooh sidewalk cross still hear voic traffic laugh nois god blue know still fuckin love babe ooh ooh ooh ooh ooh ooh know perfect never felt way one imagin could okay gone guess mean wrote song caus said forev drive alon past street yeah said forev drive alon past street,got driver license last week like always talked cause excited finally drive house today drove suburb cry cause around probably blonde girl always made doubt much older everything insecure yeah today drove suburb cause could ever love someone else know perfect never felt way one imagine could okay gone guess mean wrote song cause said forever drive alone past street friend tired hearing much miss kinda feel sorry cause never know way yeah today drove suburb pictured driving home know perfect never felt way one oh imagine could okay gone guess mean wrote song cause said forever drive alone past street red light stop sign still see face white car front yard drive past place used go cause still fuckin love babe ooh ooh ooh ooh ooh ooh sidewalk crossed still hear voice traffic laughing noise god blue know still fuckin love babe ooh ooh ooh ooh ooh ooh know perfect never felt way one imagine could okay gone guess mean wrote song cause said forever drive alone past street yeah said forever drive alone past street
9,The Business,Tiësto,630814176,6f3Slt0GbA2bPZlz0aIFXN,let get let get business give one night one night get million million nights like let get let get business mama please worry bout cause let heart speak friends keep telling leave let get let get business let get let get business give onе night one night gеt million million nights like let get let get business let get let get business give one night one night get million million nights like let get let get business yeah back forth back forth bullshit know said mean since attention might hurt hear ooh yeah yeah dreams ever fall away live em stay another day let get let get business let get let get business give one night one night get million million nights like let get let get business let get let get business give one night one night get million million nights like let get let get business yeah ooh yeah yeah,let get let get busi give one night one night get million million night like let get let get busi mama pleas worri bout caus let heart speak friend keep tell leav let get let get busi let get let get busi give onе night one night gеt million million night like let get let get busi let get let get busi give one night one night get million million night like let get let get busi yeah back forth back forth bullshit know said mean sinc attent might hurt hear ooh yeah yeah dream ever fall away live em stay anoth day let get let get busi let get let get busi give one night one night get million million night like let get let get busi let get let get busi give one night one night get million million night like let get let get busi yeah ooh yeah yeah,let get let get business give one night one night get million million night like let get let get business mama please worry bout cause let heart speak friend keep telling leave let get let get business let get let get business give onе night one night gеt million million night like let get let get business let get let get business give one night one night get million million night like let get let get business yeah back forth back forth bullshit know said mean since attention might hurt hear ooh yeah yeah dream ever fall away live em stay another day let get let get business let get let get business give one night one night get million million night like let get let get business let get let get business give one night one night get million million night like let get let get business yeah ooh yeah yeah
