,track_name,artist,streams,uid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
0,bad guy,Billie Eilish,1072582834,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,194088,4
1,7 rings,Ariana Grande,801570133,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,178627,4
2,Dance Monkey,Tones And I,795536724,1rgnBhdG2JDFTbYkYRZAku,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,audio_features,209755,4
3,Señorita,"Shawn Mendes, Camila Cabello",780956851,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,190800,4
4,Con Calma,"Daddy Yankee, Snow",727458084,5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,193227,4
5,Shallow,"Lady Gaga, Bradley Cooper",723325027,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,215733,4
6,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",703307097,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,158040,4
7,Someone You Loved,Lewis Capaldi,682338495,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,182161,4
8,Happier,"Marshmello, Bastille",623888002,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,214290,4
9,Wow.,Post Malone,614384365,6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,audio_features,149520,4
10,Without Me,Halsey,609295406,5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,201661,4
11,Calma - Remix,"Pedro Capó, Farruko",592605229,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,audio_features,238200,4
12,Sweet but Psycho,Ava Max,588323300,25sgk305KZfyuqVBQIahim,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,audio_features,187436,4
13,Dancing With A Stranger (with Normani),"Sam Smith, Normani",573469390,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,171030,4
14,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",520743203,6u7jPi22kF8CTQ3rb9DHE7,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,157067,4
15,Goodbyes (feat. Young Thug),"Post Malone, Young Thug",514480261,6vBdBCoOhKHiYDDOcorfNo,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,audio_features,174960,4
16,Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",508240983,70eFcWOvlMObDhURTqT4Fv,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,audio_features,197867,4
17,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",494142772,2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,audio_features,301714,4
18,Callaita,"Bad Bunny, Tainy",485277540,2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,audio_features,250534,4
19,MIDDLE CHILD,J. Cole,479992574,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,213594,4
20,High Hopes,Panic! At The Disco,469262691,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,audio_features,190947,4
21,"thank u, next",Ariana Grande,463768651,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,207320,4
22,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",459901437,0hVXuCcriWRGvwMV1r5Yn9,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,audio_features,219947,4
23,Circles,Post Malone,458210744,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,215280,4
24,SICKO MODE,Travis Scott,456823320,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,312820,4
25,"break up with your girlfriend, i'm bored",Ariana Grande,439898870,4kV4N9D1iKVxx1KLvtTpjS,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,audio_features,190440,4
26,Truth Hurts,Lizzo,436080508,5qmq61DAAOUaW8AUo8xKhh,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,173325,4
27,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",434142146,7FGq80cy8juXBCD2nrqdWU,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,170770,4
28,Going Bad (feat. Drake),"Meek Mill, Drake",425151046,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,180522,4
29,Lucid Dreams,Juice WRLD,416993607,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,239836,4
30,Lalala,"Y2K, bbno$",416578465,51Fjme0JiitpyXKuyQiCDo,0.843,0.39,2,-7.899,1,0.0846,0.178,0.0,0.137,0.495,129.972,audio_features,160627,4
31,Don't Call Me Up,Mabel,415372126,5WHTFyqSii0lmT9R21abT8,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,audio_features,178480,4
32,How Do You Sleep?,Sam Smith,409694543,6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,audio_features,202205,5
33,Better Now,Post Malone,406599212,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,audio_features,231267,4
34,Piece Of Your Heart,"MEDUZA, Goodboys",398011733,1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,audio_features,152913,4
35,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",397518163,0e7ipj03S05BNilyu5bRzt,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,audio_features,218147,4
36,Talk (feat. Disclosure),"Khalid, Disclosure",394690944,6TqXcAFInzjp0bODyvrWEq,0.9,0.4,0,-8.575,1,0.127,0.0516,0.0,0.0599,0.346,135.984,audio_features,197573,4
37,when the party's over,Billie Eilish,392466365,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,audio_features,196077,4
38,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",391532405,7fa9MBXhVfQ8P8Df9OEbD8,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,235545,4
39,Memories,Maroon 5,386333508,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,audio_features,189486,4
40,Let Me Down Slowly,Alec Benjamin,386168636,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,169354,4
41,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",378399653,4R8BJggjosTswLxtkw8V7P,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,audio_features,309120,4
42,Old Town Road,Lil Nas X,377792869,53CJANUxooaqGOtdsBTh7O,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,audio_features,113013,4
43,MIA (feat. Drake),"Bad Bunny, Drake",376751197,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,audio_features,210368,4
44,Otro Trago,"Sech, Darell",375834575,1Ej96GIBCTvgH7tNX1r3qr,0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,audio_features,225933,4
45,I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",373306837,3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,219947,4
46,i'm so tired...,"Lauv, Troye Sivan",370742739,7COXchtUOMd6uIT6HvmRaI,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,audio_features,162583,4
47,Con Altura,"ROSALÍA, J Balvin, El Guincho",369203119,2qG5sZ7Si6sdK74qLxedYM,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,audio_features,161627,4
48,Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",368993414,5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,audio_features,205427,4
